equip_id,n_rows,best_n_train,best_n_test,best_R2_train,best_CVRMSE,best_NMBE,best_alpha,best_l1_ratio,best_n_features,best_R2,best_period,R2_H1→H2 2025,R2_8mo→5mo,R2_Apr-Sep→Oct-Feb
a5f3e9e815ee1756279bdccabde64b038652dfbd470da49fa0,400,182.0,127.0,0.634,11.9,0.1,0.868511,0.1,20.0,0.6336,Apr-Sep→Oct-Feb,-0.3835,-2.0357,0.6336
a79662734c4a7c3939189b2bbc4d99384a5a8ea0145f34b92d,400,182.0,127.0,0.6767,11.5,-0.7,0.868511,0.9,10.0,-0.0225,Apr-Sep→Oct-Feb,-0.9255,-0.3467,-0.0225
ac77142ab83b60470fc1cd494471a6caf0a29dda18431137f6,400,142.0,127.0,0.0,22.4,-3.3,568.986603,0.9,0.0,-0.0226,Apr-Sep→Oct-Feb,-0.3116,-0.321,-0.0226
ad33b31fcb619bc15c495c9b266c74f879b1408953d51c99f7,398,,,,,,,,,,NONE,,,
af616c7b5f247865a87bf1e58fa0d2ceff57d9131f6c5bcde5,400,161.0,184.0,0.8442,22.6,1.2,0.09103,0.1,11.0,0.0038,H1→H2 2025,0.0038,0.0006,-0.005
b3c1f0af7dfe91a916e3cd04a068accb47592d3589d15a6846,400,242.0,157.0,0.8432,12.4,-0.6,0.007197,0.9,20.0,0.5931,8mo→5mo,0.5041,0.5931,-0.3998
c0ca6df200d1c8f7c610a488453e50607aca2cff9d889dbbb9,400,234.0,157.0,0.7033,21.6,-0.7,0.001,0.9,21.0,0.0171,8mo→5mo,-0.0019,0.0171,0.0164
c1b4159dee90e3e05aacfae5696056cb02d69221ff63a18c31,400,239.0,157.0,0.6838,23.4,-20.0,0.212095,0.1,21.0,-0.6166,8mo→5mo,-2.2265,-0.6166,-2.1899
c2d5342f494662fc25926fa75aa51d66cd2340e4d3334dac2b,400,234.0,157.0,0.0,12.9,-0.6,1000.0,0.1,0.0,-0.0024,8mo→5mo,-0.0119,-0.0024,-0.0169
c741ead900af14e41fd93ad341120ef4866268320203e0412c,400,182.0,127.0,0.637,23.5,1.8,0.868511,0.1,20.0,0.3359,Apr-Sep→Oct-Feb,-0.4612,-0.9287,0.3359
c74ab8448e44008872515b1590d23af05f79befdf31642e9bb,400,179.0,127.0,0.6739,9.1,-1.3,0.494171,0.9,4.0,0.1699,Apr-Sep→Oct-Feb,0.1655,-0.2014,0.1699
d0cf5fa00246c3d1da66c0bf8ee464da256b146a96cc875128,400,176.0,184.0,0.6773,27.8,-21.4,0.212095,0.1,21.0,-1.9779,H1→H2 2025,-1.9779,-4.2973,-3.2762
d2d7289925559aacfe8c8ad732cc9347071bb11eeabfcdc13d,400,177.0,127.0,0.0,40.2,2.4,1000.0,0.1,0.0,-0.0035,Apr-Sep→Oct-Feb,-0.0094,-0.0052,-0.0035
d74c6a1587806b5cf1333ac3c211c71d382a2fb0ddc97a0eff,400,179.0,184.0,0.4976,15.8,-13.6,0.655129,0.1,16.0,-2.7883,H1→H2 2025,-2.7883,-5.8774,-4.2624
dc28177ccde8d088b6a7c20597dee95723403d02bf4306fb8f,400,145.0,127.0,0.2667,13.1,-4.4,0.372759,0.9,14.0,-0.0717,Apr-Sep→Oct-Feb,-0.5871,-0.5505,-0.0717
dd4569416ee60170254e09b87475584eb8bb8c59b350f49e50,400,179.0,127.0,0.691,13.3,-9.1,3.55648,0.9,17.0,-0.1387,Apr-Sep→Oct-Feb,-0.3713,-0.5487,-0.1387
e09cc78dee560fb8ed19d1fba22f38a7482ef46ac5cce2e694,400,179.0,127.0,0.3171,139.1,-114.5,6.250552,0.9,11.0,-3.299,Apr-Sep→Oct-Feb,-7.7972,-4.8066,-3.299
e3c65119f72dd456c47c3e34b652b5258d3451cd0bfa1bd316,400,144.0,127.0,0.2464,18.2,0.3,0.281177,0.9,3.0,0.0161,Apr-Sep→Oct-Feb,-0.0493,0.002,0.0161
e987d39f6676df81bfaea4c91ab7ad0bb7898bea59639763c1,399,177.0,126.0,0.1945,12.8,-2.0,0.494171,0.1,19.0,0.1219,Apr-Sep→Oct-Feb,-0.0153,0.0972,0.1219
ed8c600d70262f56a9e5118cf3b745a0df27f5d6f5ca6aa241,400,172.0,184.0,0.0,19.2,2.3,0.039069,0.5,0.0,-0.0144,H1→H2 2025,-0.0144,-0.0377,-0.0476
eebd3bf70f9a9ae88023093a305bbbd48866113ad8311107f3,400,242.0,157.0,0.8368,29.9,-10.6,0.494171,0.1,21.0,0.3757,8mo→5mo,0.2688,0.3757,0.3581
f0b3224c448327d7cae09bfd641aa0f3ab76319e6da268cb3a,399,179.0,184.0,0.4928,37.1,-14.7,0.868511,0.9,6.0,0.2803,H1→H2 2025,0.2803,0.2634,0.0293
f1eadb48f3e119ec115fdeb659eaf32e1882761d78d743428c,400,152.0,184.0,0.0479,23.9,-1.4,1.526418,0.7,6.0,-0.0055,H1→H2 2025,-0.0055,-0.0176,-0.0245
f1fcadc85c16b197d6afe5e9e2c0a3aac78ce3ff83dc7337ad,398,,,,,,,,,,NONE,,,
f3ab84840d8c520ea7c325c7e0908b7099d9e7fce3ffadad85,400,180.0,127.0,0.4386,35.4,-4.6,0.372759,0.9,9.0,0.0008,Apr-Sep→Oct-Feb,-0.0037,-0.0355,0.0008
f7530f5f0dd7be9a3ef3e2aa8d245bed49f704a219709e157f,400,179.0,184.0,0.653,23.5,-2.5,2.02359,0.9,12.0,0.2098,H1→H2 2025,0.2098,-0.0016,0.086
fab4a83b7fddff86136820b1c06ba6430374c096f6f6bd2aad,400,154.0,184.0,0.0805,23.1,-0.8,4.714866,0.1,18.0,-0.003,H1→H2 2025,-0.003,-0.0032,-0.004
fb6099dcb0f206742cecdd0ad1350186ca6848fcb33ce559b5,400,241.0,157.0,0.6634,14.1,-3.0,1.526418,0.7,9.0,-0.1892,8mo→5mo,-2.563,-0.1892,-0.555
fe3f3dd611cf0f4f7d380970b21f21ad85c0331f47df663fa1,400,152.0,184.0,0.8206,0.9,-0.5,0.051795,0.1,12.0,0.3008,H1→H2 2025,0.3008,-0.0208,-0.0249
fe7251e333d36e468a93d28d6af637304301c27d4ed8a09c5e,400,180.0,127.0,0.7729,12.0,-3.8,1.526418,0.9,14.0,0.5832,Apr-Sep→Oct-Feb,0.4796,-0.08,0.5832
ffc4ff08e4eb106ee7472fc4f150b12d561c4bc6cd0d41fe8c,400,182.0,127.0,0.7672,29.2,-1.2,0.02223,0.9,17.0,-0.3197,Apr-Sep→Oct-Feb,-1.1284,-0.585,-0.3197
